path,file_size,id,name,description,uri,browse_file_formats,materials,polygons,vertex,is_rigged,is_animated,license,quality,software_for_import,categories,tags
n,7.7 MB,20474,3D Character Human Body 3D Model,Download 3D Character Human Body 3dsMax Model in .3ds .Max Zip files – ID20474. Thousands Free 3D Max Models of 3D Objects| a lot of 3D Models download free for your 3D Visualization & 3D Printing.,https://open3dmodel.com/3d-models/3d-character-human-body-3dsmax-model_20474.html,3ds|Max,.Jpg| .Mtl for Vray| Mental Ray| Corona,N/A,N/A,No,No,Non-commercial,Medium Poly,3ds Max| Maya| Cinema 4D| Sketchup| ,Characters,body|Character|Human|People
n,4.2 MB,2053,Luna Sofa Vray 3D Model,Download Free Luna Sofa 3dsMax Model Vray ID2053 (.max .obj .3ds files)| Vray material & Studio lighting included. Thousands Livingroom Sofa 3DS Max Models & 3D Objects| Free 3D Models Download for Exterior & Interior 3D Visualization.,https://open3dmodel.com/3d-models/luna-sofa-3dsmax-model-vray_2053.html,Max|Obj,.Jpg| .Mtl for Vray| Mental Ray| Corona,N/A,N/A,No,No,Non-commercial,Low Poly,3ds Max| Maya| Cinema 4D| Sketchup| ,Exclusive 3D Models|Furniture|High Quality,Chair|Chair Sofa & Table|exclusive-3d|Fabric|High|High Poly|Living|Living Room|Low Poly|Lowpoly|luna|Poly|Room|Sofa|Table|Wood|Wooden
n,304.7 KB,8206,Masha Character 3D Model,Download Free 3D Model of Masha Character| files available in: Autodesk FBX (.fbx)| 3D Studio Max (.max)| Object File (.obj) formats. This file contains the shapes look like to ,https://open3dmodel.com/3d-models/masha-character_8206.html,Fbx|Max|Obj,.Jpg| .Mtl for Vray| Mental Ray| Corona,N/A,N/A,No,No,Non-commercial,Medium Poly,3ds Max| Maya| Cinema 4D| Sketchup| ,Characters,Character|Characters|Female|masha|People|texture
n,2.1 MB,6811,Mickey Mouse 3D Model,Free Download Mickey Mouse Free 3d Model file Zip| Rar in .obj format – ID6811. Download Free 3D Max Models of | Toon| Mickey| Mouse| Characters| | 3D Objects| a lot of 3D Models download free for your 3D Visualization & 3D Printing.,https://open3dmodel.com/3d-models/mickey-mouse-free-3d-model_6811.html,Blend|Obj,.Jpg| .Mtl for Vray| Mental Ray| Corona,N/A,N/A,No,No,Non-commercial,Medium Poly,3ds Max| Maya| Cinema 4D| Sketchup| ,Characters|Land Animals,Characters|mickey|Mouse|People|toon
n,686.3 KB,38959,Realistic Tiger Rigged 3D Model,Download Free 3D Model of Realistic Tiger Rigged| files available in: 3D Studio Max (.max) formats. This file contains the shapes look like to ,https://open3dmodel.com/3d-models/realistic-tiger-rigged_38959.html,Max,.Jpg| .Mtl for Vray| Mental Ray| Corona,N/A,N/A,Yes,No,Non-commercial,Medium Poly,3ds Max| Maya| Cinema 4D| Sketchup| ,Animal|Land Animals|Nature,Beasts|Mammal|realistic|Rig|Rigged|Tiger
n,47.5 KB,7056,House Villa Residence Building Scene 3D Model,Free Download House Villa Residence Building Free 3d Model file Zip| Rar in .max format – ID7056. Download Free 3D Max Models of | House| Villa| Home| Residence| Cottage| Building| Architecture 3D Objects| a lot of 3D Models download free for your 3D Visualization & 3D Printing.,https://open3dmodel.com/3d-models/house-villa-residence-building-free-3d-model_7056.html,Max,.Jpg| .Mtl for Vray| Mental Ray| Corona,N/A,N/A,No,No,Non-commercial,Medium Poly,3ds Max| Maya| Cinema 4D| Sketchup| ,3D Exterior Scenes|Architecture,Building|contemporary|cottage|countryside|Home|House|Luxury|Modern|residence|scene|villa
n,8.4 MB,11920,Low-poly Trees 3D Model,Free Download Low-poly Trees Free 3d Model – file Zip| Rar in .3ds| .obj| .max format – ID11920. Download Free 3D Max Models of Sapling| Tree| Low| Poly| Grove| Fir| Ash| Spruce 3D Objects| a lot of 3D Models download free for your 3D Visualization & 3D Printing.,https://open3dmodel.com/3d-models/low-poly-trees-free-3d-model_11920.html,3ds|Max|Obj,.Jpg| .Mtl for Vray| Mental Ray| Corona,N/A,N/A,No,No,Non-commercial,Low Poly,3ds Max| Maya| Cinema 4D| Sketchup| ,Nature|Plants & Trees,Low Poly|Lowpoly|Tree|Trees
n,5.7 MB,19792,Office Lady Character 3D Model,Download Office Lady 3dsMax Model Character in .3ds .Max Zip files – ID19792. Thousands Free 3D Max Models of 3D Objects| a lot of 3D Models download free for your 3D Visualization & 3D Printing.,https://open3dmodel.com/3d-models/office-lady-3dsmax-model-character_19792.html,3ds|Max,.Jpg| .Mtl for Vray| Mental Ray| Corona,N/A,N/A,No,No,Non-commercial,Medium Poly,3ds Max| Maya| Cinema 4D| Sketchup| ,Characters,Character|Lady|Office|People
n,687.3 KB,19700,Beautiful Girl 3d Character 3D Model,Download Beautiful Girl 3dsMax Model Free 3d Character in .3ds .Max Zip files – ID19700. Thousands Free 3D Max Models of 3D Objects| a lot of 3D Models download free for your 3D Visualization & 3D Printing.,https://open3dmodel.com/3d-models/beautiful-girl-3dsmax-model-free-3d-character_19700.html,3ds|Max,.Jpg| .Mtl for Vray| Mental Ray| Corona,N/A,N/A,No,No,Non-commercial,Medium Poly,3ds Max| Maya| Cinema 4D| Sketchup| ,Characters,beautiful|Character|Girl|Human|People
n,14.7 MB,36264,Japanese School Girl 3D Model,3D Model Japanese School Girl| files available in: Autodesk FBX (.fbx)| 3D Studio Max (.max)| Object File (.obj). Archive file containts Female characters and girl 3d models. Free download this 3d object to import to your Characters 3d scene| or 3d printing. Great stuffs & materials for 3d design related to architecture visualization| cg visual effects| cg artwork| 3d rendering working.,https://open3dmodel.com/3d-models/japanese-school-girl_36264.html,Fbx|Max|Obj,.Jpg| .Mtl for Vray| Mental Ray| Corona,N/A,N/A,No,No,Non-commercial,Medium Poly,3ds Max| Maya| Cinema 4D| Sketchup| ,Characters,Characters|Female|Female Characters|Girl|Human|Japanese|school|Student|Woman
n,21.9 MB,9650,Juliet Character 3D Model,Download Free 3D Model of Juliet Character Free 3d Model| files available in: Collada (.dae) formats. This file contains the shapes look like to ,https://open3dmodel.com/3d-models/juliet-character-free-3d-model_9650.html,Dae,.Jpg| .Mtl for Vray| Mental Ray| Corona,N/A,N/A,Yes,No,Non-commercial,Medium Poly,3ds Max| Maya| Cinema 4D| Sketchup| ,Characters,chainsaw|Character|Characters|juliet|lollipop|outfit|People|rider|Rig|Rigged
